week,date,tv_spend,digital_spend,email_spend,search_spend,seasonality,sales,tv_adstock,digital_adstock,email_adstock,search_adstock
1,2022-01-01,187.2209065244533,35.02952352166176,17.422585702734068,32.72233385243453,1.036161004076597,848.3261452091618,187.2209065244533,35.02952352166176,17.422585702734068,32.72233385243453
2,2022-01-08,190.56131199467927,22.326865512877703,7.326866798102856,53.791170719778165,1.0717946992862672,862.8392891965718,265.4496746044606,32.83572256937623,10.81138393864967,60.33563749026507
3,2022-01-15,92.92093021795154,30.857103765010834,10.294341454282403,30.656013294355944,1.1063814661127607,806.1803497541389,199.10080005973577,40.7078205358237,12.456618242012336,42.723140792408955
4,2022-01-22,174.56714391009882,74.41313425078988,28.262518655974418,15.064525430789217,1.1394169516131305,909.523317162963,254.20746393399315,86.62548041153698,30.753842304376885,23.60915358927101
5,2022-01-29,146.26182783395052,94.78583630174398,12.42116016917862,56.007800416555256,1.1704194240193466,933.1017949092184,247.94481340754777,120.77348042520508,18.571928630053996,60.72963113440946
6,2022-02-05,127.86439236951992,64.03952674940228,21.330456221476197,57.82755520194769,1.1989367974722385,933.3373605725793,227.04231773253903,100.2715708769638,25.044841947486997,69.97348142882959
7,2022-02-12,160.48824719619006,68.14129883423448,27.526761947665364,37.091354235308245,1.2245532244513304,906.204606998179,251.3051742892057,98.22277009732362,32.53573033716276,51.086050521074164
8,2022-02-19,70.19998958567157,35.75955905020237,29.76989483111538,35.86432718904689,1.2468951597680968,868.4734722384911,170.72205930135385,65.22639007939945,36.27704089854793,46.081537293261725
9,2022-02-26,148.5488435602747,62.818928845226765,15.758330533280969,41.84124210616574,1.265636807695963,900.5261319713375,216.83766728081622,82.3868458690466,23.013738712990556,51.05754956481808
10,2022-03-05,155.7597176055424,34.36445914208889,14.844423056347296,55.772293077316135,1.2805048728056243,912.9167624145919,242.49478451786888,59.080512902802866,19.447170798945407,65.98380299027976
11,2022-03-12,118.66126643726602,56.15091955289245,8.547722386429086,22.78505305526778,1.2912825452278156,844.2415854390744,215.65918024441356,73.87507342373331,12.437156546218167,35.981813653323734
12,2022-03-19,157.8668377478607,45.36426814273,11.995167408604175,50.3646484517958,1.2978126622294162,910.041945620815,244.13050984562614,67.52679016984999,14.482598717847809,57.56101118246055
13,2022-03-26,190.20083707291633,29.29397363215685,19.1205555642955,25.482047307305038,1.3,948.0590813797558,287.8530410111668,49.552010683111845,22.017075307865063,36.994249543797146
14,2022-04-02,88.3143236511387,34.888172540813684,28.378487635636702,40.96716940635815,1.2978126622294162,835.7464228603413,203.4555400556054,49.753775745747234,32.781902697209716,48.36601931511758
15,2022-04-09,119.34392338152975,78.37840773165226,13.960003626998514,52.83946649869904,1.2912825452278156,960.2008030748733,200.72613940377192,93.30454045537643,20.516384166440456,62.512670361722556
16,2022-04-16,191.00217841332778,52.94976569712162,26.05017952271737,20.949169958475977,1.2805048728056245,928.8632584575166,271.29263417483656,80.941127833734555,30.153456356005464,33.45170403082049
17,2022-04-23,196.7339642578736,53.12397453933954,23.06023035896942,55.31510353088379,1.265636807695963,951.7365634781656,305.2510179278082,77.40631288945991,29.090921630170513,62.00544433704789
18,2022-04-30,67.62310424819589,58.42481032013893,23.76839973265305,35.25618035229854,1.2468951597680968,847.2559322827917,189.72351141931918,81.6467041869769,29.586584058687155,47.65726921970812
19,2022-05-07,121.24956223415211,54.19955724850297,28.0997113045305,55.23641420295462,1.2245532244513304,945.9516354545252,197.1389668018798,78.69356850459604,34.01702811626793,64.76786804689624
20,2022-05-14,134.04991193674505,30.919228810817003,5.059452670393512,26.184533124323934,1.1989367974722385,800.866826865035,212.905498657497,54.52729936219582,11.862858293647097,39.13810673370318
21,2022-05-21,185.6047080946155,85.97435250878334,9.01074787368998,18.766288213664666,1.1704194240193466,891.7033929002403,270.7669075576143,102.33254231744209,11.3833195324194,26.5939095604053
22,2022-05-28,70.80652515869588,67.38433940336108,14.98182378243655,17.188848360674456,1.1394169516131307,811.7779658806247,179.1132881817416,98.0841020985937,17.25848768892043,22.507630272755517
23,2022-06-04,198.3337593381293,83.55175821110606,21.882989433361217,59.09171401639469,1.1063814661127607,1031.6287191817853,269.97907461082593,112.97698884068417,25.334686971145302,63.5932400709458
24,2022-06-11,192.00023488374427,81.52259405702353,17.00930040795356,36.78754835156724,1.0717946992862672,945.6029440071432,299.99186472807463,115.41569070922878,22.07623780218262,49.506196365756395
25,2022-06-18,62.365633714944124,93.4445133805275,18.34571951883845,53.04268652689643,1.036161004076597,840.2866956574773,182.362379606174,128.06922059329614,22.760967079274977,62.94392580004771
26,2022-06-25,127.13176765246317,89.01038216426969,12.923753932118416,33.73321220395155,0.9999999999999999,845.7649217579974,200.07671949493277,127.43114834225852,17.47594734797341,46.321997363961096
27,2022-07-02,108.5305200656876,45.35801902413368,25.36893975455314,37.02041442738846,0.9638389959234032,820.8545798717016,188.5612078636607,83.58736352681123,28.86412922414782,46.28481390018068
28,2022-07-09,185.8607196365483,40.74084607884288,12.305488031124696,23.247951788362116,0.9282053007137328,834.0677810587822,261.2852027820126,65.81705513688624,18.07831387595426,32.50491456839825
29,2022-07-16,117.04544421518221,79.38131615519524,15.228302283212543,49.16226605535485,0.8936185338872393,881.8129798453126,221.55952532798727,99.1264326962611,18.843965058403395,55.6632489690345
30,2022-07-23,175.40063899941742,79.78888934478164,7.272957691457123,28.731448614271358,0.8605830483868696,899.8835136861686,264.0244491306123,109.52681915365997,11.0417507031378,39.864098408078256
31,2022-07-30,160.6393426656723,93.43232272192836,24.964915950549766,22.455521119991317,0.8295805759806534,894.1629214208315,266.2491223179172,126.29036846802634,27.173266091177325,30.428340801606968
32,2022-08-06,171.6582711902447,83.45529673621058,13.994631242239848,16.47641143295914,0.8010632025277615,836.8667794229576,278.1579201174116,121.34240727661849,19.429284460475312,22.562079593280533
33,2022-08-13,108.21624242234975,30.66636946052313,6.01218941854313,21.142734369495884,0.7754467755486697,762.8689750830597,219.47941046931442,67.06909164350867,9.898046310638193,25.65515028815199
34,2022-08-20,152.77545941062272,43.019980173558,6.027158496435732,22.97113851411268,0.7531048402319032,803.9295615861863,240.5672235983485,63.140707666610595,8.00676775856337,28.10216857174308
35,2022-08-27,50.592250819318,35.574091505259275,28.86085595935583,38.38022027048282,0.7343631923040371,806.6114840990472,146.8191402586574,54.51630380524246,30.462209511068504,44.00065398483144
36,2022-09-03,174.9374120379798,82.72875061258674,14.333531121956185,51.50043532834388,0.7194951271943756,866.617232537006,233.66506814144276,99.08364175415947,20.425973024169885,60.30056612531017
37,2022-09-10,51.10012203222141,30.309772938489914,25.16049168887548,20.19129056367092,0.7087174547721844,731.351062519287,144.5661492887985,60.034865464737756,29.245686293709458,32.25140378873295
38,2022-09-17,81.14884592359886,30.32714268192649,27.751475224504247,55.20398039720021,0.7021873377705838,850.440159597338,138.97530563911826,48.337602321347816,33.60061248324614,61.6542611549468
39,2022-09-24,185.99021116970107,25.780248902738094,16.00190532160923,40.89087964966893,0.7,864.7938117572695,241.58033342534839,40.28152959914244,22.722027818258457,53.2217318806583
40,2022-10-01,141.76679651718587,24.250358678400517,19.40841257572174,21.59575774334371,0.7021873377705838,758.9664783984203,238.3989298873252,36.33481755814325,23.952818139373434,32.24010411947537
41,2022-10-08,106.93388608051464,62.549954913556576,6.841694879112765,55.62626083614305,0.7087174547721844,850.5774358533905,202.29345803544473,73.45040018099955,11.632258506987451,62.074281660038125
42,2022-10-15,115.36573774646968,28.98465933278203,9.115684860153124,26.385111124254763,0.7194951271943756,730.6749244227237,196.28312096064758,51.0197793870819,11.442136561550614,38.79996745626239
43,2022-10-22,55.61465492937714,79.45501757785678,23.497269396902993,21.776892011985183,0.734363192304037,779.3320157422235,134.12790331363618,94.76095139398134,25.785696709213116,29.53688550323766
44,2022-10-29,196.0309870657511,78.50523818284273,16.892775318119675,49.5846221933607,0.7531048402319029,970.1300717803551,249.68214839120557,106.93352360103714,22.049914659962297,55.49199929400823
45,2022-11-05,114.7626873338595,90.80941496416926,22.138023831648752,25.355549898231402,0.7754467755486697,851.9311385359,214.63554669034176,122.88947204448041,26.54800676364121,36.45394975703305
46,2022-11-12,193.63648949656636,61.368884444236755,28.787873570108786,28.742969760205597,0.8010632025277613,934.2047593126024,279.4907081727031,98.23572605758088,34.09747492283703,36.033759711612205
47,2022-11-19,183.16323582548648,88.15447879955173,17.4366121890489,38.335632547969,0.8295805759806533,918.9138627545929,294.9595190945677,117.62519661682599,24.256107173616307,45.54238449029144
48,2022-11-26,145.99681542022154,55.42370146140456,16.76251566503197,30.056985004339367,0.8605830483868695,800.6838356226855,263.98062305804865,90.71126044645236,21.61373709975523,39.16546190239765
